,accuracy,precision,recall,f1,roc_auc,learning_rate,n_estimators
5,0.9494202898550724,0.9533844036940012,0.915092940685046,0.9316979294565504,0.9432095595681124,0.1,10
0,0.9494685990338164,0.9692716640085062,0.8917528597133861,0.9278467706053912,0.9366575746378376,0.01,10
6,0.9515942028985508,0.9650803101267498,0.9071374750980016,0.9343840285110704,0.94237945692222,0.1,20
4,0.953719806763285,0.9789181286549709,0.8994451674056936,0.9355149591559327,0.9420188799991432,0.01,50
1,0.953816425120773,0.9758697838109602,0.8994451674056936,0.93458062707609,0.942456379999143,0.01,20
3,0.9559903381642512,0.978654970760234,0.9047083253004308,0.939025054152096,0.9446504589465116,0.01,40
7,0.9603381642512078,0.976225820962663,0.9176637908874752,0.9452027419613628,0.9514175435918856,0.1,30
9,0.962512077294686,0.973654970760234,0.9306192564745196,0.9503498404768822,0.9556828476104792,0.1,50
8,0.962512077294686,0.9789181286549709,0.925356098579783,0.9500574428160634,0.9549743455861878,0.1,40
2,0.9626570048309178,0.9891812865497076,0.9099714831951674,0.9465903117173536,0.95128203789388,0.01,30
10,0.9669565217391304,0.9797368421052632,0.9323482584666796,0.9537870644868616,0.9585473486065592,1.0,10
11,0.9691304347826086,0.9767752715121136,0.9408885193753612,0.95731743618132,0.963178055983977,1.0,20
14,0.971304347826087,0.9873015873015872,0.9377621136173768,0.9610207485162114,0.9653185568086884,1.0,50
12,0.9735748792270532,0.9817460317460318,0.9485808270676692,0.9638778913733542,0.9688760616819828,1.0,30
13,0.9757004830917876,0.9944444444444444,0.9433176691729324,0.9671668946623576,0.9696588345864662,1.0,40
