,epoch,train_loss,val_loss,v_accuracy,v_precision,v_recall,v_f1
0,0,3.371626735315658e-05,1.1018646508455276e-05,0.9648000001907349,0.9648000001907349,0.9648000001907349,0.9648000001907349
1,1,0.0002639205486048013,6.787514686584473e-06,0.9779999852180481,0.9779999852180481,0.9779999852180481,0.9779999852180481
2,2,7.101293704181444e-06,6.105469912290573e-06,0.9809999465942383,0.9810000061988831,0.9810000061988831,0.9810000061988831
3,3,0.0032698868308216333,6.78253024816513e-06,0.9781000018119812,0.9781000018119812,0.9781000018119812,0.9781000018119812
4,4,3.034008841495961e-05,5.150275304913521e-06,0.9836999773979187,0.9836999773979187,0.9836999773979187,0.9836999773979187
5,5,3.9337010093731806e-05,5.463741347193718e-06,0.9847999811172485,0.9847999811172485,0.9847999811172485,0.9847999811172485
6,6,0.00019589751900639385,5.252008512616157e-06,0.9842999577522278,0.9843000173568726,0.9843000173568726,0.9843000173568726
7,7,0.000463187723653391,5.101699009537696e-06,0.9845999479293823,0.9846000075340271,0.9846000075340271,0.9846000075340271
8,8,8.562124094169121e-06,5.225897952914238e-06,0.9850999712944031,0.9850999712944031,0.9850999712944031,0.9850999712944031
9,9,0.0034513911232352257,5.393162742257119e-06,0.9853000044822693,0.9853000044822693,0.9853000044822693,0.9853000044822693
10,10,0.0002129658532794565,4.325157403945923e-06,0.9873999953269958,0.9873999953269958,0.9873999953269958,0.9873999953269958
11,11,2.0561246856232174e-05,5.160605534911156e-06,0.9863999485969543,0.9864000082015991,0.9864000082015991,0.9864000082015991
12,12,6.519252693237831e-09,5.112213268876075e-06,0.9872999787330627,0.9872999787330627,0.9872999787330627,0.9872999787330627
13,13,0.00021391874179244041,4.877598956227303e-06,0.9874999523162842,0.987500011920929,0.987500011920929,0.987500011920929
14,14,3.0790461096330546e-06,4.979905486106873e-06,0.9860999584197998,0.9861000180244446,0.9861000180244446,0.9861000180244446
15,15,0.00011278900637989864,4.77454736828804e-06,0.9875999689102173,0.9876000285148621,0.9876000285148621,0.9876000285148621
16,16,3.7111155393176887e-07,5.4269134998321536e-06,0.9871999621391296,0.9872000217437744,0.9872000217437744,0.9872000217437744
17,17,4.169596650172025e-07,5.232754349708557e-06,0.9890999794006348,0.9890999794006348,0.9890999794006348,0.9890999794006348
18,18,2.1420303752961445e-08,5.6364875286817555e-06,0.9876999855041504,0.9876999855041504,0.9876999855041504,0.9876999855041504
19,19,3.730940306923003e-06,5.023786425590515e-06,0.988599956035614,0.9886000156402588,0.9886000156402588,0.9886000156402588
